,Nome,Região,Período,Resultado,ds_nome,value
42,População total,Alto de Pinheiros (Distrito),2001,44408,ALTO DE PINHEIROS,44408.0
43,População total,Alto de Pinheiros (Distrito),2005,43839,ALTO DE PINHEIROS,43839.0
44,População total,Alto de Pinheiros (Distrito),2007,43546,ALTO DE PINHEIROS,43546.0
45,População total,Alto de Pinheiros (Distrito),2015,42113,ALTO DE PINHEIROS,42113.0
46,População total,Alto de Pinheiros (Distrito),2013,42521,ALTO DE PINHEIROS,42521.0
47,População total,Alto de Pinheiros (Distrito),1999,45213,ALTO DE PINHEIROS,45213.0
48,População total,Alto de Pinheiros (Distrito),1998,45865,ALTO DE PINHEIROS,45865.0
49,População total,Alto de Pinheiros (Distrito),2008,43375,ALTO DE PINHEIROS,43375.0
50,População total,Anhanguera (Distrito),1999,33651,ANHANGUERA,33651.0
51,População total,Anhanguera (Distrito),2003,46162,ANHANGUERA,46162.0
52,População total,Anhanguera (Distrito),1998,29730,ANHANGUERA,29730.0
53,População total,Anhanguera (Distrito),2012,69686,ANHANGUERA,69686.0
54,População total,Anhanguera (Distrito),1997,26249,ANHANGUERA,26249.0
55,População total,Anhanguera (Distrito),2015,76340,ANHANGUERA,76340.0
56,População total,Anhanguera (Distrito),2006,54560,ANHANGUERA,54560.0
57,População total,Anhanguera (Distrito),2007,57375,ANHANGUERA,57375.0
58,População total,Anhanguera (Distrito),2018,81269,ANHANGUERA,81269.0
59,População total,Anhanguera (Distrito),2014,74057,ANHANGUERA,74057.0
60,População total,Anhanguera (Distrito),1996,23174,ANHANGUERA,23174.0
61,População total,Anhanguera (Distrito),2008,60202,ANHANGUERA,60202.0
62,População total,Anhanguera (Distrito),2020,84719,ANHANGUERA,84719.0
63,População total,Anhanguera (Distrito),2019,82976,ANHANGUERA,82976.0
64,População total,Anhanguera (Distrito),2016,77950,ANHANGUERA,77950.0
65,População total,Anhanguera (Distrito),2013,71839,ANHANGUERA,71839.0
66,População total,Anhanguera (Distrito),2010,65561,ANHANGUERA,65561.0
67,População total,Anhanguera (Distrito),2001,40747,ANHANGUERA,40747.0
68,População total,Anhanguera (Distrito),2005,51736,ANHANGUERA,51736.0
69,População total,Anhanguera (Distrito),2011,67594,ANHANGUERA,67594.0
70,População total,Anhanguera (Distrito),2009,63056,ANHANGUERA,63056.0
71,População total,Anhanguera (Distrito),2004,48917,ANHANGUERA,48917.0
72,População total,Anhanguera (Distrito),2002,43456,ANHANGUERA,43456.0
73,População total,Anhanguera (Distrito),2000,38037,ANHANGUERA,38037.0
74,População total,Anhanguera (Distrito),2017,79594,ANHANGUERA,79594.0
75,População total,Aricanduva (Distrito),2010,89664,ARICANDUVA,89664.0
76,População total,Aricanduva (Distrito),2016,87128,ARICANDUVA,87128.0
77,População total,Aricanduva (Distrito),2018,86501,ARICANDUVA,86501.0
78,População total,Aricanduva (Distrito),2015,87440,ARICANDUVA,87440.0
79,População total,Aricanduva (Distrito),2009,90118,ARICANDUVA,90118.0
80,População total,Aricanduva (Distrito),2017,86815,ARICANDUVA,86815.0
81,População total,Aricanduva (Distrito),2014,87887,ARICANDUVA,87887.0
82,População total,Aricanduva (Distrito),2005,92545,ARICANDUVA,92545.0
83,População total,Aricanduva (Distrito),2001,94516,ARICANDUVA,94516.0
84,População total,Aricanduva (Distrito),2013,88334,ARICANDUVA,88334.0
85,População total,Aricanduva (Distrito),1996,95805,ARICANDUVA,95805.0
86,População total,Aricanduva (Distrito),2020,85868,ARICANDUVA,85868.0
87,População total,Aricanduva (Distrito),2019,86184,ARICANDUVA,86184.0
88,População total,Aricanduva (Distrito),2012,88779,ARICANDUVA,88779.0
89,População total,Aricanduva (Distrito),2004,93108,ARICANDUVA,93108.0
90,População total,Aricanduva (Distrito),2008,90748,ARICANDUVA,90748.0
91,População total,Aricanduva (Distrito),2003,93631,ARICANDUVA,93631.0
92,População total,Aricanduva (Distrito),2006,91988,ARICANDUVA,91988.0
93,População total,Aricanduva (Distrito),1998,95454,ARICANDUVA,95454.0
94,População total,Aricanduva (Distrito),2007,91382,ARICANDUVA,91382.0
95,População total,Aricanduva (Distrito),2000,94845,ARICANDUVA,94845.0
96,População total,Aricanduva (Distrito),1999,95207,ARICANDUVA,95207.0
97,População total,Aricanduva (Distrito),2011,89223,ARICANDUVA,89223.0
98,População total,Aricanduva (Distrito),2002,94090,ARICANDUVA,94090.0
99,População total,Aricanduva (Distrito),1997,95635,ARICANDUVA,95635.0
100,População total,Artur Alvim (Distrito),2009,105867,ARTUR ALVIM,105867.0
101,População total,Artur Alvim (Distrito),2018,101309,ARTUR ALVIM,101309.0
102,População total,Artur Alvim (Distrito),2007,107392,ARTUR ALVIM,107392.0
103,População total,Artur Alvim (Distrito),2010,105317,ARTUR ALVIM,105317.0
104,População total,Artur Alvim (Distrito),2006,108139,ARTUR ALVIM,108139.0
105,População total,Artur Alvim (Distrito),2015,102575,ARTUR ALVIM,102575.0
106,População total,Artur Alvim (Distrito),2012,104225,ARTUR ALVIM,104225.0
107,População total,Artur Alvim (Distrito),2000,111294,ARTUR ALVIM,111294.0
108,População total,Artur Alvim (Distrito),2013,103676,ARTUR ALVIM,103676.0
109,População total,Artur Alvim (Distrito),2002,110617,ARTUR ALVIM,110617.0
110,População total,Artur Alvim (Distrito),2011,104772,ARTUR ALVIM,104772.0
111,População total,Artur Alvim (Distrito),2014,103127,ARTUR ALVIM,103127.0
112,População total,Artur Alvim (Distrito),2019,100887,ARTUR ALVIM,100887.0
113,População total,Artur Alvim (Distrito),1996,114723,ARTUR ALVIM,114723.0
114,População total,Artur Alvim (Distrito),1997,113940,ARTUR ALVIM,113940.0
115,População total,Artur Alvim (Distrito),2016,102154,ARTUR ALVIM,102154.0
116,População total,Artur Alvim (Distrito),2004,109499,ARTUR ALVIM,109499.0
117,População total,Artur Alvim (Distrito),2005,108867,ARTUR ALVIM,108867.0
118,População total,Artur Alvim (Distrito),2020,100462,ARTUR ALVIM,100462.0
119,População total,Artur Alvim (Distrito),2017,101732,ARTUR ALVIM,101732.0
120,População total,Artur Alvim (Distrito),2003,110092,ARTUR ALVIM,110092.0
121,População total,Artur Alvim (Distrito),1999,112289,ARTUR ALVIM,112289.0
122,População total,Artur Alvim (Distrito),2001,111052,ARTUR ALVIM,111052.0
123,População total,Artur Alvim (Distrito),1998,113151,ARTUR ALVIM,113151.0
124,População total,Artur Alvim (Distrito),2008,106648,ARTUR ALVIM,106648.0
125,População total,Barra Funda (Distrito),2004,13457,BARRA FUNDA,13457.0
126,População total,Barra Funda (Distrito),1999,13316,BARRA FUNDA,13316.0
127,População total,Barra Funda (Distrito),2003,13361,BARRA FUNDA,13361.0
128,População total,Barra Funda (Distrito),2020,16115,BARRA FUNDA,16115.0
129,População total,Barra Funda (Distrito),2011,14535,BARRA FUNDA,14535.0
130,População total,Barra Funda (Distrito),2013,14865,BARRA FUNDA,14865.0
131,População total,Barra Funda (Distrito),1997,13948,BARRA FUNDA,13948.0
132,População total,Barra Funda (Distrito),2016,15379,BARRA FUNDA,15379.0
133,População total,Barra Funda (Distrito),2018,15745,BARRA FUNDA,15745.0
134,População total,Barra Funda (Distrito),2015,15200,BARRA FUNDA,15200.0
135,População total,Barra Funda (Distrito),2014,15033,BARRA FUNDA,15033.0
136,População total,Barra Funda (Distrito),2002,13265,BARRA FUNDA,13265.0
137,População total,Barra Funda (Distrito),2006,13754,BARRA FUNDA,13754.0
138,População total,Barra Funda (Distrito),2008,14070,BARRA FUNDA,14070.0
139,População total,Barra Funda (Distrito),1998,13633,BARRA FUNDA,13633.0
140,População total,Barra Funda (Distrito),2009,14231,BARRA FUNDA,14231.0
141,População total,Barra Funda (Distrito),2017,15562,BARRA FUNDA,15562.0
142,População total,Barra Funda (Distrito),2007,13905,BARRA FUNDA,13905.0
143,População total,Barra Funda (Distrito),2019,15927,BARRA FUNDA,15927.0
144,População total,Barra Funda (Distrito),2001,13136,BARRA FUNDA,13136.0
145,População total,Barra Funda (Distrito),2012,14699,BARRA FUNDA,14699.0
146,População total,Barra Funda (Distrito),2005,13599,BARRA FUNDA,13599.0
147,População total,Barra Funda (Distrito),1996,14270,BARRA FUNDA,14270.0
148,População total,Barra Funda (Distrito),2010,14371,BARRA FUNDA,14371.0
149,População total,Barra Funda (Distrito),2000,12992,BARRA FUNDA,12992.0
150,População total,Bela Vista (Distrito),2005,66517,BELA VISTA,66517.0
151,População total,Bela Vista (Distrito),2001,63979,BELA VISTA,63979.0
152,População total,Bela Vista (Distrito),2012,70315,BELA VISTA,70315.0
153,População total,Bela Vista (Distrito),1998,65249,BELA VISTA,65249.0
154,População total,Bela Vista (Distrito),2002,64639,BELA VISTA,64639.0
155,População total,Bela Vista (Distrito),2014,71225,BELA VISTA,71225.0
156,População total,Bela Vista (Distrito),2020,73235,BELA VISTA,73235.0
157,População total,Bela Vista (Distrito),1996,67100,BELA VISTA,67100.0
158,População total,Bela Vista (Distrito),2006,67131,BELA VISTA,67131.0
159,População total,Bela Vista (Distrito),2009,68896,BELA VISTA,68896.0
160,População total,Bela Vista (Distrito),2008,68329,BELA VISTA,68329.0
161,População total,Bela Vista (Distrito),2010,69406,BELA VISTA,69406.0
162,População total,Bela Vista (Distrito),2017,72304,BELA VISTA,72304.0
163,População total,Bela Vista (Distrito),2019,72925,BELA VISTA,72925.0
164,População total,Bela Vista (Distrito),2003,65273,BELA VISTA,65273.0
165,População total,Bela Vista (Distrito),2016,71992,BELA VISTA,71992.0
166,População total,Bela Vista (Distrito),2011,69861,BELA VISTA,69861.0
167,População total,Bela Vista (Distrito),2004,65888,BELA VISTA,65888.0
168,População total,Bela Vista (Distrito),1999,64296,BELA VISTA,64296.0
169,População total,Bela Vista (Distrito),2007,67735,BELA VISTA,67735.0
170,População total,Bela Vista (Distrito),2000,63276,BELA VISTA,63276.0
171,População total,Bela Vista (Distrito),2013,70770,BELA VISTA,70770.0
172,População total,Bela Vista (Distrito),1997,66171,BELA VISTA,66171.0
173,População total,Bela Vista (Distrito),2018,72614,BELA VISTA,72614.0
174,População total,Bela Vista (Distrito),2015,71680,BELA VISTA,71680.0
175,População total,Belém (Distrito),2004,41438,BELEM,41438.0
176,População total,Belém (Distrito),2011,45485,BELEM,45485.0
177,População total,Belém (Distrito),2012,45964,BELEM,45964.0
178,População total,Belém (Distrito),2014,46929,BELEM,46929.0
179,População total,Belém (Distrito),2017,48130,BELEM,48130.0
180,População total,Belém (Distrito),1997,42898,BELEM,42898.0
181,População total,Belém (Distrito),1998,41845,BELEM,41845.0
182,População total,Belém (Distrito),2001,40107,BELEM,40107.0
183,População total,Belém (Distrito),2020,49213,BELEM,49213.0
184,População total,Belém (Distrito),2006,42676,BELEM,42676.0
185,População total,Belém (Distrito),2003,40940,BELEM,40940.0
186,População total,Belém (Distrito),2013,46445,BELEM,46445.0
187,População total,Belém (Distrito),2002,40496,BELEM,40496.0
188,População total,Belém (Distrito),2007,43282,BELEM,43282.0
189,População total,Belém (Distrito),2000,39712,BELEM,39712.0
190,População total,Belém (Distrito),2009,44447,BELEM,44447.0
191,População total,Belém (Distrito),2019,48850,BELEM,48850.0
192,População total,Belém (Distrito),2015,47416,BELEM,47416.0
193,População total,Belém (Distrito),2016,47772,BELEM,47772.0
194,População total,Belém (Distrito),2005,42038,BELEM,42038.0
195,População total,Belém (Distrito),2008,43874,BELEM,43874.0
196,População total,Belém (Distrito),2010,45010,BELEM,45010.0
197,População total,Belém (Distrito),1999,40791,BELEM,40791.0
198,População total,Belém (Distrito),2018,48490,BELEM,48490.0
199,População total,Belém (Distrito),1996,43974,BELEM,43974.0
200,População total,Bom Retiro (Distrito),2008,32321,BOM RETIRO,32321.0
201,População total,Bom Retiro (Distrito),2017,37602,BOM RETIRO,37602.0
202,População total,Bom Retiro (Distrito),2001,27345,BOM RETIRO,27345.0
203,População total,Bom Retiro (Distrito),2006,30815,BOM RETIRO,30815.0
204,População total,Bom Retiro (Distrito),2012,34978,BOM RETIRO,34978.0
205,População total,Bom Retiro (Distrito),2010,33825,BOM RETIRO,33825.0
206,População total,Bom Retiro (Distrito),1999,27644,BOM RETIRO,27644.0
207,População total,Bom Retiro (Distrito),2003,28656,BOM RETIRO,28656.0
208,População total,Bom Retiro (Distrito),2011,34397,BOM RETIRO,34397.0
209,População total,Bom Retiro (Distrito),2015,36771,BOM RETIRO,36771.0
210,População total,Bom Retiro (Distrito),2013,35567,BOM RETIRO,35567.0
211,População total,Bom Retiro (Distrito),1998,28611,BOM RETIRO,28611.0
212,População total,Bom Retiro (Distrito),2002,27985,BOM RETIRO,27985.0
213,População total,Bom Retiro (Distrito),2018,38024,BOM RETIRO,38024.0
214,População total,Bom Retiro (Distrito),2014,36165,BOM RETIRO,36165.0
215,População total,Bom Retiro (Distrito),2005,30092,BOM RETIRO,30092.0
216,População total,Bom Retiro (Distrito),2000,26678,BOM RETIRO,26678.0
217,População total,Bom Retiro (Distrito),1996,30602,BOM RETIRO,30602.0
218,População total,Bom Retiro (Distrito),2004,29370,BOM RETIRO,29370.0
219,População total,Bom Retiro (Distrito),2020,38877,BOM RETIRO,38877.0
220,População total,Bom Retiro (Distrito),1997,29591,BOM RETIRO,29591.0
221,População total,Bom Retiro (Distrito),2019,38449,BOM RETIRO,38449.0
222,População total,Bom Retiro (Distrito),2009,33089,BOM RETIRO,33089.0
223,População total,Bom Retiro (Distrito),2007,31565,BOM RETIRO,31565.0
224,População total,Bom Retiro (Distrito),2016,37184,BOM RETIRO,37184.0
225,População total,Brás (Distrito),2003,26363,BRAS,26363.0
226,População total,Brás (Distrito),2009,28846,BRAS,28846.0
227,População total,Brás (Distrito),2013,30516,BRAS,30516.0
228,População total,Brás (Distrito),2010,29229,BRAS,29229.0
229,População total,Brás (Distrito),2004,26725,BRAS,26725.0
230,População total,Brás (Distrito),2016,31723,BRAS,31723.0
231,População total,Brás (Distrito),2001,25636,BRAS,25636.0
232,População total,Brás (Distrito),1996,28699,BRAS,28699.0
233,População total,Brás (Distrito),1998,26945,BRAS,26945.0
234,População total,Brás (Distrito),2002,26003,BRAS,26003.0
235,População total,Brás (Distrito),2006,27524,BRAS,27524.0
236,População total,Brás (Distrito),2000,25230,BRAS,25230.0
237,População total,Brás (Distrito),2019,32711,BRAS,32711.0
238,População total,Brás (Distrito),2005,27128,BRAS,27128.0
239,População total,Brás (Distrito),2018,32378,BRAS,32378.0
240,População total,Brás (Distrito),2015,31398,BRAS,31398.0
241,População total,Brás (Distrito),2007,27954,BRAS,27954.0
242,População total,Brás (Distrito),2008,28424,BRAS,28424.0
243,População total,Brás (Distrito),2020,33045,BRAS,33045.0
244,População total,Brás (Distrito),2014,30953,BRAS,30953.0
245,População total,Brás (Distrito),1999,26090,BRAS,26090.0
246,População total,Brás (Distrito),2017,32049,BRAS,32049.0
247,População total,Brás (Distrito),1997,27810,BRAS,27810.0
248,População total,Brás (Distrito),2011,29652,BRAS,29652.0
249,População total,Brás (Distrito),2012,30082,BRAS,30082.0
250,População total,Brasilândia (Distrito),2008,261795,BRASILANDIA,261795.0
251,População total,Brasilândia (Distrito),2002,251751,BRASILANDIA,251751.0
252,População total,Brasilândia (Distrito),1996,226162,BRASILANDIA,226162.0
253,População total,Brasilândia (Distrito),2019,280278,BRASILANDIA,280278.0
254,População total,Brasilândia (Distrito),1998,236630,BRASILANDIA,236630.0
255,População total,Brasilândia (Distrito),1997,231350,BRASILANDIA,231350.0
256,População total,Brasilândia (Distrito),2016,275198,BRASILANDIA,275198.0
257,População total,Brasilândia (Distrito),2001,249560,BRASILANDIA,249560.0
258,População total,Brasilândia (Distrito),2013,270012,BRASILANDIA,270012.0
259,População total,Brasilândia (Distrito),2012,268263,BRASILANDIA,268263.0
260,População total,Brasilândia (Distrito),2005,257482,BRASILANDIA,257482.0
261,População total,Brasilândia (Distrito),2020,281977,BRASILANDIA,281977.0
262,População total,Brasilândia (Distrito),1999,241870,BRASILANDIA,241870.0
263,População total,Brasilândia (Distrito),2014,271761,BRASILANDIA,271761.0
264,População total,Brasilândia (Distrito),2000,246906,BRASILANDIA,246906.0
265,População total,Brasilândia (Distrito),2018,278581,BRASILANDIA,278581.0
266,População total,Brasilândia (Distrito),2015,273511,BRASILANDIA,273511.0
267,População total,Brasilândia (Distrito),2017,276889,BRASILANDIA,276889.0
268,População total,Brasilândia (Distrito),2007,260393,BRASILANDIA,260393.0
269,População total,Brasilândia (Distrito),2003,253750,BRASILANDIA,253750.0
270,População total,Brasilândia (Distrito),2004,255665,BRASILANDIA,255665.0
271,População total,Brasilândia (Distrito),2009,263138,BRASILANDIA,263138.0
272,População total,Brasilândia (Distrito),2011,266514,BRASILANDIA,266514.0
273,População total,Brasilândia (Distrito),2010,264764,BRASILANDIA,264764.0
274,População total,Brasilândia (Distrito),2006,259024,BRASILANDIA,259024.0
275,População total,Butantã (Distrito),2017,54035,BUTANTA,54035.0
276,População total,Butantã (Distrito),2009,54080,BUTANTA,54080.0
277,População total,Butantã (Distrito),2012,54183,BUTANTA,54183.0
278,População total,Butantã (Distrito),2007,53896,BUTANTA,53896.0
279,População total,Butantã (Distrito),2005,53722,BUTANTA,53722.0
280,População total,Butantã (Distrito),2008,53986,BUTANTA,53986.0
281,População total,Butantã (Distrito),2011,54184,BUTANTA,54184.0
282,População total,Butantã (Distrito),2003,53381,BUTANTA,53381.0
283,População total,Butantã (Distrito),1999,53369,BUTANTA,53369.0
284,População total,Butantã (Distrito),2014,54170,BUTANTA,54170.0
285,População total,Butantã (Distrito),2020,53836,BUTANTA,53836.0
286,População total,Butantã (Distrito),1998,53976,BUTANTA,53976.0
287,População total,Butantã (Distrito),2018,53970,BUTANTA,53970.0
288,População total,Butantã (Distrito),2015,54162,BUTANTA,54162.0
289,População total,Butantã (Distrito),1997,54554,BUTANTA,54554.0
290,População total,Butantã (Distrito),2001,52969,BUTANTA,52969.0
291,População total,Butantã (Distrito),2006,53821,BUTANTA,53821.0
292,População total,Butantã (Distrito),1996,55131,BUTANTA,55131.0
293,População total,Butantã (Distrito),2002,53206,BUTANTA,53206.0
294,População total,Butantã (Distrito),2010,54184,BUTANTA,54184.0
295,População total,Butantã (Distrito),2004,53557,BUTANTA,53557.0
296,População total,Butantã (Distrito),2000,52705,BUTANTA,52705.0
297,População total,Butantã (Distrito),2013,54177,BUTANTA,54177.0
298,População total,Butantã (Distrito),2016,54100,BUTANTA,54100.0
299,População total,Butantã (Distrito),2019,53904,BUTANTA,53904.0
300,População total,Cachoeirinha (Distrito),2020,146387,CACHOEIRINHA,146387.0
301,População total,Cachoeirinha (Distrito),1997,140224,CACHOEIRINHA,140224.0
302,População total,Cachoeirinha (Distrito),2013,144211,CACHOEIRINHA,144211.0
303,População total,Cachoeirinha (Distrito),2016,144977,CACHOEIRINHA,144977.0
304,População total,Cachoeirinha (Distrito),1998,142720,CACHOEIRINHA,142720.0
305,População total,Cachoeirinha (Distrito),2018,145688,CACHOEIRINHA,145688.0
306,População total,Cachoeirinha (Distrito),2006,145381,CACHOEIRINHA,145381.0
307,População total,Cachoeirinha (Distrito),2000,147458,CACHOEIRINHA,147458.0
308,População total,Cachoeirinha (Distrito),1996,137757,CACHOEIRINHA,137757.0
309,População total,Cachoeirinha (Distrito),2012,143998,CACHOEIRINHA,143998.0
310,População total,Cachoeirinha (Distrito),2010,143555,CACHOEIRINHA,143555.0
311,População total,Cachoeirinha (Distrito),2003,146781,CACHOEIRINHA,146781.0
312,População total,Cachoeirinha (Distrito),2007,144822,CACHOEIRINHA,144822.0
313,População total,Cachoeirinha (Distrito),2019,146039,CACHOEIRINHA,146039.0
314,População total,Cachoeirinha (Distrito),2014,144416,CACHOEIRINHA,144416.0
315,População total,Cachoeirinha (Distrito),2004,146352,CACHOEIRINHA,146352.0
316,População total,Cachoeirinha (Distrito),1999,145161,CACHOEIRINHA,145161.0
317,População total,Cachoeirinha (Distrito),2008,144202,CACHOEIRINHA,144202.0
318,População total,Cachoeirinha (Distrito),2017,145334,CACHOEIRINHA,145334.0
319,População total,Cachoeirinha (Distrito),2011,143779,CACHOEIRINHA,143779.0
320,População total,Cachoeirinha (Distrito),2001,147430,CACHOEIRINHA,147430.0
321,População total,Cachoeirinha (Distrito),2005,145867,CACHOEIRINHA,145867.0
322,População total,Cachoeirinha (Distrito),2002,147165,CACHOEIRINHA,147165.0
323,População total,Cachoeirinha (Distrito),2015,144618,CACHOEIRINHA,144618.0
324,População total,Cachoeirinha (Distrito),2009,143662,CACHOEIRINHA,143662.0
325,População total,Cambuci (Distrito),2001,29554,CAMBUCI,29554.0
326,População total,Cambuci (Distrito),2019,40357,CAMBUCI,40357.0
327,População total,Cambuci (Distrito),2007,34484,CAMBUCI,34484.0
328,População total,Cambuci (Distrito),1999,29665,CAMBUCI,29665.0
329,População total,Cambuci (Distrito),1997,31397,CAMBUCI,31397.0
330,População total,Cambuci (Distrito),2020,40667,CAMBUCI,40667.0
331,População total,Cambuci (Distrito),2000,28790,CAMBUCI,28790.0
332,População total,Cambuci (Distrito),2017,39743,CAMBUCI,39743.0
333,População total,Cambuci (Distrito),2005,32822,CAMBUCI,32822.0
334,População total,Cambuci (Distrito),2004,31969,CAMBUCI,31969.0
335,População total,Cambuci (Distrito),2010,36872,CAMBUCI,36872.0
336,População total,Cambuci (Distrito),2012,37765,CAMBUCI,37765.0
337,População total,Cambuci (Distrito),1998,30529,CAMBUCI,30529.0
338,População total,Cambuci (Distrito),2014,38674,CAMBUCI,38674.0
339,População total,Cambuci (Distrito),2008,35306,CAMBUCI,35306.0
340,População total,Cambuci (Distrito),1996,32286,CAMBUCI,32286.0
341,População total,Cambuci (Distrito),2011,37317,CAMBUCI,37317.0
342,População total,Cambuci (Distrito),2016,39438,CAMBUCI,39438.0
343,População total,Cambuci (Distrito),2018,40049,CAMBUCI,40049.0
344,População total,Cambuci (Distrito),2009,36134,CAMBUCI,36134.0
345,População total,Cambuci (Distrito),2013,38218,CAMBUCI,38218.0
346,População total,Cambuci (Distrito),2002,30310,CAMBUCI,30310.0
347,População total,Cambuci (Distrito),2006,33650,CAMBUCI,33650.0
348,População total,Cambuci (Distrito),2015,39134,CAMBUCI,39134.0
349,População total,Cambuci (Distrito),2003,31114,CAMBUCI,31114.0
350,População total,Campo Belo (Distrito),2003,66528,CAMPO BELO,66528.0
351,População total,Campo Belo (Distrito),2006,66157,CAMPO BELO,66157.0
352,População total,Campo Belo (Distrito),2013,65208,CAMPO BELO,65208.0
353,População total,Campo Belo (Distrito),2012,65395,CAMPO BELO,65395.0
354,População total,Campo Belo (Distrito),2010,65760,CAMPO BELO,65760.0
355,População total,Campo Belo (Distrito),2018,64180,CAMPO BELO,64180.0
356,População total,Campo Belo (Distrito),2011,65577,CAMPO BELO,65577.0
357,População total,Campo Belo (Distrito),2008,65876,CAMPO BELO,65876.0
358,População total,Campo Belo (Distrito),1998,69271,CAMPO BELO,69271.0
359,População total,Campo Belo (Distrito),2009,65755,CAMPO BELO,65755.0
360,População total,Campo Belo (Distrito),1996,71688,CAMPO BELO,71688.0
361,População total,Campo Belo (Distrito),2020,63744,CAMPO BELO,63744.0
362,População total,Campo Belo (Distrito),2000,66756,CAMPO BELO,66756.0
363,População total,Campo Belo (Distrito),2016,64612,CAMPO BELO,64612.0
364,População total,Campo Belo (Distrito),2002,66666,CAMPO BELO,66666.0
365,População total,Campo Belo (Distrito),2014,65017,CAMPO BELO,65017.0
366,População total,Campo Belo (Distrito),2001,66750,CAMPO BELO,66750.0
367,População total,Campo Belo (Distrito),2017,64397,CAMPO BELO,64397.0
368,População total,Campo Belo (Distrito),1999,68045,CAMPO BELO,68045.0
369,População total,Campo Belo (Distrito),2015,64827,CAMPO BELO,64827.0
370,População total,Campo Belo (Distrito),2007,66030,CAMPO BELO,66030.0
371,População total,Campo Belo (Distrito),2019,63962,CAMPO BELO,63962.0
372,População total,Campo Belo (Distrito),1997,70471,CAMPO BELO,70471.0
373,População total,Campo Belo (Distrito),2005,66275,CAMPO BELO,66275.0
374,População total,Campo Belo (Distrito),2004,66389,CAMPO BELO,66389.0
375,População total,Campo Grande (Distrito),2001,92333,CAMPO GRANDE,92333.0
376,População total,Campo Grande (Distrito),2011,101353,CAMPO GRANDE,101353.0
377,População total,Campo Grande (Distrito),2019,106227,CAMPO GRANDE,106227.0
378,População total,Campo Grande (Distrito),1997,88326,CAMPO GRANDE,88326.0
